text,quality,delivery
"A gothic novel for the motherhood years.. Oh the clothes, the fame, the pain....and all given up for the boys...a foundation of guilt? Get real honey, how many women can be married to an architect (lowest paid of all professionals) and have four kids, let alone have the house, the nannies and the professional help that Ms. Krasnow has been able to afford through luck of birth. She didn't surrender - She just found a new vehicle to project the ""intelligence and eccentricity"" she supposedly had taken such pains to hide in earlier attempts to impress. Don't worry, they were lost in this book.",neg,neg
"review. arrived quickly, thank you! Was thrilled to get the book as I loved the movie and had not been able to locate the book in stores.",pos,pos
"Not a relaxing bedtime read.. This is a chore. I don't go for complex storylines and this book is the worst of the worst for those. I kept turning back to read over parts I had not taken in the first time, and in the end I gave up. I got to almost half-way, but I had lost interest way before then.",neg,neg
"Splendid trade. This is a movie I have seen before, about two years ago, and I jumped at the opportunity to buy it at a reasonable price. It arrived quickly and in excellent condition - what more can you ask? And, it's as funny as it ever was. Thanks.",pos,pos
billw2. fast shipping-great product-aaa+ takes the sand right out of my eyes and is useful for the bathroom duties too horay,pos,pos
5 Stars!. This product was perfect! Just like new and unopened. I would definitely buy from this seller again. Fast Delivery too. Thanks!!!,pos,pos
"Farberware Rules!. Ordered the Farberware 3 Qt. to replace my 14 yr. old piece, & was vry pleased to see it was an exact replica. Item arrived on time, & was packaged very well!For an even longer lasting pot, I suggest not 'drying"" Farberware in your dishwasher...the handle material breaks down over time from extreme heat. Live and learn!",pos,pos
"An acceptable continuation. The 5th story in the Sons of Texas series seems to be the pivotal book in the continuing Bitter End Saga. The mystery of Bitter End is finally solved.... if you've read the other four books, you definitely want to know this, but the story of Nell and Travis seems to be lost in the process. If you haven't read the other Sons of Texas books, don't read this one first!!!!",neg,neg
"My Wife Loves this Saga!. Very Simply she loves this Saga, and makes her night to be able to grab this disc and get lost in it's sweet sensational sparks! Any husband who wants to add some spice to their spouse wife has to get this disc.",pos,neg
"They've Made Better!!. This is my and my son's least favorite Wiggles video. It's slower moving then the rest of their high energy videos.Unlike the others that he sits or dances through in their entirety, he lost interest quickly with this one.Also - portions of the video that have the Wiggles as PaperMaiche dolls with big eyes (creepy looking) singing superfast send my 2 year old screaming for me!!",neg,neg
"Best Prenatal. Let me first say that I am not pregnant. I am taking these as a multi replacement and for nail and hair health. The results are amazing. My nails grow extremely fast and are hard and healthy. My hair, which I color blond, so it is damaged, is finally able to grow (rather than before which would break before it added any length). I feel great while taking these. They are not too big to swallow and have no scent.Also - an interesting note for men...my husband took one of these when his multi ran out and said he had so much energy and felt great! It has all the necessary vitamins and minerals and more. Highly recommended.",pos,neg
The autobiography of my mother. Did not really get lost in there book....found it boring....and I really wanted to stop reading it! But chose to painstakingly finish it..,neg,neg
difficult installation unless you call toll free number for help. The unit seems to work very well but installation using CD rom which came in the box with the wireless router was of no help when I tried to install it at a university dorm where internet was available without a modem. The rep at the toll free number was very helpful and patient and helped set up the router and the encryption key for security. The interent connection at 100 Mbps was super fast.,pos,pos
"The emperor has no clothes. Boring, boring, boring. After 120 pages, I gave up. What is the point? I guess I don't get it. What was this guy smoking? How many characters need the same name? How many absurd tortures do we need to read about? The fantasy appears to be thrown in just for the sake of making incidences wild and imaginary and do not seem to be relative to the story or themes. Maybe something was lost in the translation, but if this is the next best thing to Genesis, we're all in trouble. Read The Red Tent --- it comes a lot closer to that billing.Sorry, but I have other books to read, and many yawns before I sleep.",neg,neg
"SUBLIME MASTERFUL CHANT. LOST IN MEDITATION: MEDITATIVE GREGORIAN CHANTS (Vol.1), as performed by CAPELLA GREGORIANA, is precisely what the title of this c.d. says it is. This is Gregorian Chant at its most beautiful, soothing, and, yes, meditative. The singing is beautifully recorded. There is a calm, spititually centering quality to this c.d. that is not as easily articulated in words, as it is felt within oneself as soon as you begin to listen to this album. A quality that continues, unbroken throughout the entire album. I purchased this c.d. on Amazon for a wonderful price. Most highly recommended.",pos,neg
very factual. I like that it is a very factual account but at times I got lost in the detail. All credit to the author for his research.,pos,neg
"Best left for wyndham fans. Wyndham has written much better stuff, but you can still feel the Wyndham charm on occassion. Probably best left for only the most die hard of Wyndham fans. The kindle edition, however, is poorly prepared. I own a physical copy of the book and the two can hardly be compared -- all formatting has essentially been lost in the kindle edition; medium and long dashes (--) have vanished as well, resulting in conversation with sentences that bleed together without boundaries.",neg,neg
"Many twists and turns. I bought this movie because I am a Eliza Dushku fan. I've seen all the Buffy the Vampire Slayer, Tru Calling, Dollhouse. She is a great actress. But this movie was very interesting and had many twists and turns. It has a very interesting story line, I think you will enjoy it. It arrived quickly and was still factory sealed with the sticker across the top. I would recommend adding this to your collection.",pos,pos
"Bowling For Columbine. Without a doubt, go see or rent this DVD. Then take some time to find the truth! Trust me, it won't take long. This is NOT a documentary! Docs are real life and fact filled accounts of a particular subject matter. This film, 90% of it, is nothing but inaccurate story telling from someone lost in the fog of the unknown. The fiction starts as soon as he goes in the bank! Michael Moore is a disgrace to the film industry. I was shocked when he was given the Academy Award. I was taught that the Academy has rules that a documentary has to be truthful and not have any fiction. Maybe they lowered the standards for Mr. Moore.See this DVD and then study the facts to learn the truth!",neg,neg
"Good Quality. I bought this product for school. I liked this product, it was shipped quickly and was exactly how it was described in the description.",pos,pos
"a gift. My order arrived quickly. I gave the pan as a gift and haven't heard how the recipient likes it, but it looked fine upon arrival.",pos,pos
"Great little desktop stand. So I was looking for a stand for my desk at work, I was really tired on laying my BlackBerry down & having it lost in a pile of papers or since I have a ""work"" setting not knowing who was calling until I picked up the phone. This seemed to fit the bill & the price was right so I went for it. SO glad I did! It's perfect for what I wanted, a simple yet nice stand that keeps my BB upright at a good angle & the best part is that it will hold it while it's in the silicone sleeve! It's made of a nice leather & magnet system so if you need to travel with it, it will hardly take up any room at all, it folds totally flat. It even has ""BlackBerry"" imprinted across the front, something I hadn't noticed when I ordered it, it's a nice touch. It also has 2 holes in the back flap, I'm guessing it's so you can thread the charging cord through to keep it neat. If you're looking for a subtle phone holder that will look good on probably any desk I'd highly recommend this one.",pos,neg
Review. I recently ordered this item and it came in damaged. I have emailed the company many times and they haven't responded. Which shows me that they do not care about their customers. I am very disappointed in Amazon and Laser the 3rd party company.,neg,neg
Maybe I misunderstood. I didn't like this book at all. It didn't seem to go anywhere. I felt I was always on the verge of something that never arrived. And the whole greek part. Completely boring. And then the book just ends.Terrible.,neg,neg
"Blood Omen 2, not such a bad game.. All in all this is a great game. I had this for Xbox originally, so I never had to deal with the alleged glitches. I hope I won't when I re-buy this for ps2. >< Anyways you are Kain, an arrogant, cocky vampire with a huge superiority complex. When the game starts you get your @$$ handed to you by some dude named the Sarafan Lord. Kain makes an alliance with Uma I think her name was. He goes across Norrath kills Sarafan, Hyldan, and a bunch of other things along the way. You get weapons, your weapons wear down, you throw it into the next body...repeat. The world of Nosgoth is actually beautifully done, and you could truly get lost in it. The sounds, the way people go about their business, it was a new and much needed facelift to Nosgoth. The only issue I really had with this game was that it wasnt so much a puzzle game as it was a straight hack n slash blood bath, and too many discrepencies. I'd play it though.",pos,neg
"Refurb & Damaged Box. Not only did I receive a refurbished unit, but it also came in a damaged box (large hole punctured in side and broken styro packing).Getting a replacement, will hopefully have a better experience.",neg,neg
"Excellent quality!. You can always count on Faberware to deliver a great product. The price on Amazon was better than any sale in our area stores. I use this size pot several times a week, so when my Reverware pot of 40 years gave out, I decided on replacing it with a Faberware because I own a larger version of it. Have always been very happy with the quality and performance of it. So far, the smaller version is just as good. I'm sure it will last another 40 years, so I'll be able to hand it down in the family, Super fast delivery from dealer as well.",pos,pos
"Fire Safe. The Kidde FA110 is a great extinguisher to have around the home for it's multiple uses. It was as advertised, and shipped quickly. Thank you.",pos,pos
"WWII Family Story. D. E. Stevenson wrote about 50 novels mostly set in rural south west lowlands Scotland in the middle part of the 20th century, with WWII often looming just before or after the time of the book. In this one we go through the war. The story of an estate and its family, it uses Stevenson's common elements of distracted, neglectful, and irascible parents or other authority figures by whom the children are damaged, and must find their way to wholeness and independence. It's fascinating to see the old pre-war way of life (eight house servants to care for a simple family of 7) give way to the deprivation of warand its aftermath. A very easy read with a beautiful setting and great characters.",pos,neg
Spanish Step by Step. Received the book Spanish Step-by-Step in excellent condition and with a speedy delivery time frame. Would not hesitate to recommend this book to any one for a simple way to start to learn Spanish.,pos,pos
"Pedestal table. Arrived on time and very simple to put together. For the money, it is a great deal for us! We saw another similar one we liked on another website but it was three times the price!",pos,pos
"Waste of Money!. I made the mistake of buying this book thinking it would be better than the last one. It's not. I love well written erotic romance ala Robin Schone or Emma Holly authors who don't feel the need to have the male lead denegrate and humilitate the female throughout the book. Nor is using the four letter ""c"" word to describe her on almost every other page. Yes, there's a lot of graphic sex but but I lost interest very quickly.",neg,neg
"Breakfast of Champions. This was my first experience of Vonnegut. After a few pages I was thinking he was a bit...Um...""Brain Damaged"". By the time I got to page 50, I saw he was a genius. He is a master at satire. One of the few books I could read over and over again.",pos,neg
factory damage. The steamer arrive with a large dent. The Amazon shipping box didn't have a dent on it and neither did the Graniteware box. It was clearly damaged at the factory and then just put into a box and shipped out. Returned and did not order a replacement.,neg,neg
"Not one of Disney's best. I bought this movie for my grandchildren and was disappointed. I'm not sure why,but they didn't care much for this movie. They lost interest in it after only a few minutes. This movie, in my opinion, will not become one of Disney's ""classics"".",neg,neg
"Love this tea. Arrived quickly with no issues. I order twelve boxes of it, and love this tea, and plan on order more in the future.",pos,pos
"Fundamentals of Vehicle Dynamics. Thomas Gillespie is able to explain the fundamental principles of vehicle dynamics in his book. For those new to the subject of vehicle dynamics, this work will lay the foundation for more advanced reading. Those with science, math and engineering degrees, or those familiar with technical literature, will find the reading easy to understand in comparison to some other works. This allows the reader to focus their attention on understanding the ""big picture,"" and not getting lost in particular formulae. However, for those doing research in the field or pursuing this as a career, there are more advanced texts available.",pos,neg
Works all by itself. It's such a nice size but after just 3 days it has started to move all by itself. Interesting to watch but rather useless as a pointer. Often get the wrong item clicked.,neg,neg
"K&N. Product was shipped quickly, well packaged, easy installation, filter performance as anticipated. Smooth and easy transaction. Would recommend seller. Thanks",pos,pos
"Terrible single. Well whats to like about it other than the title track?The radio edit cuts out a big chunk of the outro and some of the intro and the 7"" version keeps a bit of the intro and still cuts out the outro. Wolf in sheeps clothing is 5 minutes of looping drums and bassline with cheesy 80's synth over the top.Overall though if you want all the songs, be sure to get the 5 track jewel case version as the cardboard slipcase with trays get annoying and damaged easy and its easier to have 1 cd with all the songs on it rather than 2.",neg,neg
"Fun for a while.... We bought this for my daughter for her 3rd birthday & she really loved it at first. She especially liked it when her older cousin showed her that she could put other small toys in the castle & pop them out and across the room. However, she lost interest soon after & I haven't seen her play with it in the 3 months since her birthday.",pos,neg
Gone with the Wind. This book was ordered for my daughter as a Christmas gift. The service was good. The book arrived early and in good condition.,pos,pos
"VHS tape of Vital signs. Fun movie, but the tape quality listed as ""NEW"" has faded colors- VHS tapes just don't hold up. Arrived on time and otherwise in excllent condition",pos,pos
Great price. Great price and excellent shipping...arrived on time and very happy with the fit/install on my son's Polaris 300. It was easy enough that he helped out. Good times,pos,pos
"Amazon to the rescue!. The item never arrived. When Amazon.com was informed of this, I was sent an email with an apology and a complete refund of the purchase price. This was not the first time that Amazon stood behind its service and bailed out an irresponsible merchant. I never have any qualms ordering from Amazon.com.",neg,neg
Action packed!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!. What I like about the the Hatchet is how Brain gets lost in the woods all by himself. Why? Brain survived all alone. With the Hatchet he builds a fire and it helps him get some food.,pos,neg
Bought for my husband.. I do not watch this type of movie but he seems to enjoy watching this series.It arrived on time and in good condition.We would purchase from this seller again.,pos,pos
Basic typography a design manual. The pachage was opened and dirty. The book was new but dirty and with part of the package glued to its back cover and had some bent corners included its cover. I was very dissapointed about it. The good thing was that the book arrived on time.,neg,pos
"16"" white gold round snake chain. LOVE it, SUPER fast delivery, got the next day!! and goes GREAT with my vintage diamond heart pendant!!! thanks!",pos,pos
"It should have stopped at wizard and glass.... I was suspecting that the series was going south at the end of the 4th book.Wolves just shows that King got lost in the middle earth and is just trying to pull resources from ANYWHERE, his own work or any other work, and he is doing it not from ""literary genius"" but just from plain desperation, which is more evident in the next two final books.I do agree with the other comment, he should have stopped after the fourth book and should've avoid giving us the ""Wachowski feeling"" of destroying what might have been a really good and original idea...",neg,neg
"Be carefull if you want buy this product. Be careful if you want to order this product because Amazon has not existence of it, although it is offered in 2 or 3 weeks. I placed my order in March (two months ago)and never arrived. Finally Amazon cancelled my order. What can I do?",neg,neg
"The Worst Movie I've ever seen!. By the third violent rape sequence in this film, you kind of get the idea that the protagonist is a misogynist and psychopath and ththat the women in the movie are just waiting for him to walk all over them. It really is just disgusting! Now Mike Leigh has made some decent movies, a couple are quite enjoyable to watch. But NAKED is just TRASH, with no redeeming artistic merits. Naked, in fact, surpasses LOST IN SPACE for the worst movie I've ever seen.",neg,neg
"water heater. The unite was defected or it was damaged in shipping.It was leaking water as soon as was pluged in, it's returned for replacement or credit.Al",neg,neg
"too esoteric for my taste. Maybe something lost in translation. More of a ""thoughts on life"" than a novel. Hope this helps. Lots of better aviation books too.",neg,neg
"One Of The Best Christams Family Comedies Ever!. 'Home Alone' being one of the three only good films of Macaulay Culkin's short lived film career is an instant holiday classic. With many laugh out loud scenes & the few touching moments at the end, the film was destined from the beginning to be a pure holiday classic.The McCallister family, leaving for Paris for the holidays, accidently leaves behind their 8-year-old son, Kevin (Culkin). Kevin thinking he made his family dissapear goes on like evrybody's still there, except when two crooks, Harry (Joe Pesci) & Marv (Daniel Stern), set their sights on the McCallister house it's up to Kevin to save the house & destroy the crooks. All the while Kevin's mother (Cathrine O'Hara) tries on & on to return home.The sequels 'Home Alone 2 : Lost in New York' & 'Home Alone 3' were in my opinion just as good as the orginal.",pos,neg
"It may have been good if it arrived. I never had the pleasure to use this device since it never arrived and the vendor made little effort to send me a new one. It arrived at a different location, in a different state, but the seller refused to send me another and made me file a claim for refund through Amazon which was very annoying.",neg,neg
"It arrived damaged. I was so excited to receive my highly rated pressure cooker. However, it arrived with a chip in the handle, near the edge of the pot.I've never had a pressure cooker before and have what is perhaps a irrational fear of pressure cooker explosions, so any sort of defect in the cooker only worsens my fear. This defect may or may not have had any effect on the safe operation of the cooker but I'm not taking any chances.The chip was deep enough to have removed the paint and taken a small chunk out of the metal/plastic or whatever the handle is made of, so even if it had nothing to do with the seal, I assume that over time it would reduce the structural integrity of the cooker.Plus, I'm wary of any brand new item that is already damaged. It doesn't make me feel confident about the overall quality of the item.So, unfortunately, I've returned it.",neg,neg
"A Very Pretty Chain Necklace. The necklace is a very pretty piece. It is great for pendants. Also, I really appreciate the quick shipping - I was able to wear the chain/necklace right away!! Thank you.",pos,pos
"hilarious, good quality shirt. good quality cotton, the shirt arrived quickly and looked exactly like the photo. it would be nice if v-necks were offered too.... but no complaints here, we are happy with our purchase.",pos,pos
"Not good.. The ""crime"" got lost in all the ""psycho-babble"" about Kay's dead lover, her crazy (for lack of a better word) police friend and her gay niece. It was, ""Oh, by the way, we did catch the killer"". Her techinical writing is great and I enjoyed her first three or four books very much.Patricia, please go back to your previous style.",neg,neg
"Amateurish Robotic and Lacking. The book is simply amateurish and I cannot fathom the merit of its rave reviews - certainly not as a noteworthy BOOK and I wonder how much the vote has to do with sentimental PC endorsement of the story VS the value of it as a book. It has very little going for itself, except the unemotional list of events presented in a rushed and sloppy book. Perhaps it was all lost in translation? I have read incredible survivor accounts here [...] and recommend you rather spend an hour or two reading this link, than buying and reading this detached and robotic account. Once again, confirmation that if a book has an Oprah book club sticker, its well worth avoiding...",neg,neg
"Romance Story. This story has a little suspense. Kept me interested in the plot about a third of the way through then lost me because I began to anticipate the next actions of the hero and heroine. Heroine was much to naivete but considering the era the story took place, it was a normal behavior. Lost interest and didn't finish the story.",neg,neg
"Cute Movie. Great movie, arrived quickly and was exactly as described. Will buy again from this seller. Makes a great gift. I want my nieces and nephews to have all the Disney movies and this is a great place to buy them.",pos,pos
"word salad as verbal Rorschach test. let the high preists of deconstructionist post modernism interpret it for you. bow down before the wisdom of frustrated ineffectual professors of English, the preistly class who will interpret this message from the gods for you, (and actually get pay and respect for it). lets get real. this is a book by a sciziphrenic for the pompous and pedantic. a few puns aside dont waste your life trying to interpret this nonsense, just because you have an ego. (even Nobel laureates fell for it--hence the quark, but FASHIONABLE NONSENSE is the delayed reaction)the real dope: read: WHAT ART IS. MADNESS AND MODERNITY. and THE FOUNTAINHEAD. for some insight into why nonsense like this continues to propagate.",neg,neg
DVD first disk damaged. The first disk in season 8 was damaged. I followed instructions to return the dvd set and asked that it be replaced. I did not get a response from the seller. If he didn't have a replacement thne he should have refunded my money so I could buy another set.,neg,neg
"Entertaining and Enlightening. Hours of tremendous enjoyment from reading the book. The incredible depth of the characters and the richness of the detail creates a wonderful read. However, should you find yourself lost in the middle of the forest with only matches and this book in your hand in dire need of light and warmth, don't hesitate to rip out several pages from the middle of the book, gather a few branches and start a fire... you thus will have the light to read by, and know the start and the end of the story. Resign yourself to the thought that the middle pages who thus furnished you and provided for your comfort were nothing more than the middling and confused thoughts of a swooning fop chaser.",pos,neg
great product. quick delivery and easy assembly...very clear and simple direction with parts in separate bags. Only took an hour to assemble. Great workout!,pos,pos
"Fails to Engage. This book was released in Australia during the first half of 1999 and I'm not sure why its debut in the US was delayed.From my perspective the booked just failed to engage me and a couple of times I was tempted to give up on it and start something else. It was, however, redeemed by a little bit of pace and interest towards the end.I found the first two thirds of the novel slow, dull & unoriginal. The characters were generally unintersting and at times frustrating, especially the behaviour of Frannie around whom much of the story is constructed. Her character stretches credulity more than can be excused. Frankly, as a reader, I didn't care whether she was ever released from gaol.""Nothing But the Truth"" is not a novel to keep one up at night turning pages.",neg,neg
"I'll keep my VHS, thanks.. I have Return Of The Living Dead 3 uncut and unrated on VHS. Why upgrade to the cut ""R"" rated DVD? This disk is damaged goods in my opinion, and with all the companies striving to restore films for DVD, releasing a movie in it's cut form just shows me that the manufacturer is more interested in making a quick buck than a quality product. VHS may not have the picture quality of DVD, but at least it's complete.Scott R",neg,neg
"GT Adams Texan. Agree with everything Toronto said and more. My eyes got a little damp as well, watching Andrea's reaction to the audience singing on Runaway. For Andrea, that has to be the memory of a lifetime. What an affirmation of your talents. The duet with Sharon and Caroline was very special. Had not heard either of their voices in solo before. Sharon bowled me over. This talents of this group runneth over with each of them possessing so many that it boggles the mind. I've been hungering for this and the Unplugged DVD for so long that I almost couldn't believe it when I read that they would finally be available with region one encoding. Wonder how much was lost in sales and publicity over the years because these two DVD's weren't availble for the North American market. The Unplugged DVD is enroute and I can hardly wait to watch Andrea sing Little Wing and Everybody Hurts.",pos,neg
Scented book doesn't smell. It is a cute story but the reason I bought it was because it is suppose to be a scratch and sniff book .The scratch areas don't smell at all not even a little very disappointing the kids lost interest right away and we didn't even finish the story .,neg,neg
HP C4965A #83 UV LIght Magenta Printhead. What we wanted at a great price! Item shipped quickly with free freight. We hope to be able to find more deals like this for our printer. Thanks!,pos,pos
"Granite Ware Lobster Steamer. I have been looking for this pot for quite a bit, was I happy to find it on this web site!The price was right and the shipping was Super Fast!!!The crabs never tasted better!!!!Jim Duncan",pos,pos
"king kong lives review. I chose this rating because this is one of my favorite super monster movies of all time. Special effects were pretty good in comparison to the king kong remake made before this. I thought Linda Hamilton was great in this movie and this was after her already being in children of the corn and terminator, not to mention the tv show hill street blues. She also went on to star in the original Beauty and the Beast tv series and of course Terminator 2. It was alot of fun.The story was pretty cool for this movie and my product was not only shipped fast, it arrived it almost flawless condition, near mint. I'm so happy i was able to find one of my favorite childhood movies. Brought back lots of good memories!",pos,pos
Perfect!. Fatastic Quality and fast shipping :] I purchased these for my Rats and they just need to grow into them a bit more but otherwise they're fantastic! AND THE COLORS ARE BEAUTIFUL!,pos,pos
"Image Entertainment presents another substandard release. I was so looking forward to watching this DVD. After finding this unknown film noir, I noticed it was issued by Image. Anyone familiar with their products knows by now that purchasing from Image is hit and miss in terms of quality. This one is clearly not remastered - or even restored in any way. In fact, the print is plagued in numerous spots from where the film print had broken and then was spliced together with a few damaged frames at each splice being removed. When oh when will Image have a consistant quality of product? This could have been a delighful purchase has been turned into a lesson not to buy any more DVDs from this company!",neg,neg
Good buy for a gift!. The product arrived on time and in perfect condition. I actually purchased this as a Christmas gift. Great buy for something that costs about 40% more at stores!,pos,pos
ZZZZZZZZZZZZZ.....Is it over yet?. Count me with the minority who found this book unreadable. It was incredibly dated with imagery very thin and sparse. I got lost in the pointless dialog and was unable to finish.,neg,neg
"Buyer Beware. The actual audio for this audiobook is enjoyable (what I was able to listen to) but beware I've now purchased 2 sets of these only to find that the disks were damaged. Scratched, glue on them, some unknown substance on another. Not to mention lots of black dust particles that would not blow off easily. The discs are packed in hard cardboard sleeves. Not exactly forgiving.",neg,neg
"They changed the smell: yuck!. Well, I don't see why people can't just leave a good product alone! This WAS a good product but this box of diapers has a bad smell. It's like Pampers has added a perfume or fragrance and now the diapers smell really bad! My son had bad diaper rash & I feel the perfume/fragrance delayed the healing of and maybe even inhibited the healing process.Not good! Will be looking for a new brand of diapers! Will never buy Pampers baby dry again and am very disappointed!",neg,neg
"Thrillville. it was a quick delivery, and my grandson has spent many hours playing it, thank you for the wonderful service",pos,pos
Product was used. I received the box and noticed it was a little damaged. When I opened the box packing material and instruction paper was missing. On top of this the blades looked like they have been used. I threw it out. The thought of it being used then returned for resale is sick.,neg,neg
What's Not To LIke??. The cooler arrived quickly and just in time to battle the summer heat. I needed more water during the day than my 1 gallon cooler could hold as I work out in the heat all day. The quality is very good and my water stays cold all day long. Good purchase!!,pos,pos
"GREAT. arrived on time exactly as described. game was in perfect condition, cube was in great condition, cables were a little exposed but otherwise fine",pos,pos
Raging Bull blu-ray dvd. Wonderful quality & Very Fast Shipping ~ 5 star seller ~ would buy from again ~ THANKS!!!,pos,pos
great. excellent condition product arrived way before i was told very fast delivery very happy with seller i would definitely order from this seller again,pos,pos
"Little Rascals DVD. Great movie, we used to have this on VHS but it got lost so we decided to buy it on DVD. It arrived early, was in perfect shape and was a great price. My daughters sat down right away and watched it.",pos,pos
"Poorly written and not very comprehensive - stay away from this one. Richard Klosterman's Community Analysis and Planning Techniques is a poor example of how Professional Planners conduct analysis. Besides being overly wordy and perhaps never to the point, this book depicts quanitative analysis backwards. The combination of Statistical methods, Data processing, Urban economics gets lost in translation and is dated. Stay away from this book unless you are a helpless victim to being taught by Prof. Klosterman - I would imagine this is required material for his classes; and if that is the reason why you need to purchase this book, I feel sorry for you.",neg,neg
"Not the best in the series. I love the Sisterhood series, up until this point. Sweet Revenge was defintely not a favorite. I wouldn't have bought it had I known it wasn't as good as the last four. Honestly, the first book seems to be the best. It seems like Fern Michaels has lost interest in her Sisterhood sisters.I felt like there were so many things that could have happened. It seems like Fern Michaels set us up for so many different options of what could happen and then just sort of killed the idea. It was short and seemed rushed.This series was my all time favorite books, what better to read about than revenge. It's disheartening to think that the writer is losing interest. Some details seem to be fogotten, sometimes, but I learned to over look them.",neg,neg
My best friend loved it. I got this cd and another one from this series for my karaoke fanatic best friend and she loved them! Shipped fast even during holidays and true to product description.,pos,pos
"Not Cold Comfort Farm. Run away, run away screaming from this version of the book! This is NOT the book Stella Gibbons wrote. I don't know how it's legal to make serious changes to a book and publish it under the original author's name. The charm and humor of the original is completely lost in this badly re-written version of the book.",neg,neg
French Marigolds. The French Marigold seeds arrived on time and were as described. I look forward to warm weather so I can plant them.,pos,pos
"Used Goods. I have been looking for the extended version of DWW for quite a while. I can't tell how excited I was when this edition came available..even if it did cost around $27.00. Imagine my great disappointment to open the package to find all 3 disks severly scratched and damaged. None of the discs were stabilized in the container. I thought perhaps they had shaken loose in shipment. It is impossible that these discs could have been so severly damaged in shipping. These are old, used discs. Disc 1 will not play all the way through on its on. I have never received a product like this from Amazon. I had no idea I was purchasing ""used""...extremely used CD's... and for a price of $26.95. Never again.",neg,neg
